Consulta Dinâmica de Receita 2009
Unidade Gestora;Gestão;Categoria Econômica;Origem;Espécie;Rubrica;Alínea;Subalínea;Exercício;Mês;Receita Prevista;Receita Realizada;Diferença;% Realizado;
"FUNDO DE APOIO À CULTURA - FAC";"FUNDO DA ARTE E DA CULTURA";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS RECREATIVOS E CULTURAIS";"RECEITA DE BILHETERIA - SECRETARIA DE CULTURA";"2009";;480.000,00;870.407,33;-390.407,33;181,33;
"FUNDO DE APOIO À CULTURA - FAC";"FUNDO DA ARTE E DA CULTURA";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS  - FAAC";"2009";;0,00;236.477,90;-236.477,90;0,00;
"FUNDO DE APOIO À CULTURA - FAC";"FUNDO DA ARTE E DA CULTURA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"FUNDO DE APOIO A ARTE E A CULTURA";"FUNDO DE APOIO A ARTE E A CULTURA";"2009";;0,00;60.459,18;-60.459,18;0,00;
"FUNDO DE APOIO À CULTURA - FAC";"FUNDO DA ARTE E DA CULTURA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS DE PESSOAS";"TRANSFERÊNCIAS DE PESSOAS";"FUNDO DE APOIO A ARTE E A CULTURA";"FUNDO DE APOIO A ARTE E A CULTURA";"2009";;2.820.000,00;0,00;2.820.000,00;0,00;
"FUNDO DE APOIO AO ESPORTE";"FUNDO DE APOIO AO ESPORTE";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDO DE APOIO AO ESPORTE";"2009";;0,00;8.405,29;-8.405,29;0,00;
"FUNDO DE APOIO AO ESPORTE";"FUNDO DE APOIO AO ESPORTE";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS DE PESSOAS";"TRANSFERÊNCIAS DE PESSOAS";"FUNDO DE APOIO AO ESPORTEE LAZER";"FUNDO DE APOIO AO ESPORTEE LAZER";"2009";;0,00;650,41;-650,41;0,00;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST. JUD.";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - PROJUR";"2009";;142.509,00;5.741,32;136.767,68;4,03;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST. JUD.";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"PROGRAMA DE ASSISTÊNCIA JURÍDICA - PROJUR";"PROGRAMA DE ASSISTÊNCIA JURÍDICA - PROJUR";"2009";;0,00;13.189,19;-13.189,19;0,00;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST. JUD.";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS DE PESSOAS";"TRANSFERÊNCIAS DE PESSOAS";"PROGRAMA DE ASSISTÊNCIA JURÍDICA - PROJUR";"PROGRAMA DE ASSISTÊNCIA JURÍDICA - PROJUR";"2009";;1.564,00;0,00;1.564,00;0,00;
"FUNDO DE APOIO E ASSIST. AO IDOSO DO DF";"FUNDO DE APOIO E ASSISTÊNCIA AO IDOSO";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS";"REM.DEP.BANCÁRIOS-  C/MOV - GDF";"2009";;0,00;10,99;-10,99;0,00;
"FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.";"FUNDO DE ASSISTENCIA A SAUDE CLDF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"RECOLHIMENTO DO BENEFICIÁRIO AO FUNDO DE SAÚDE";"CONTRIB. FUNDO DE SAÚDE DA CÂMARA  - FASCAL";"2009";;7.200.000,00;6.817.670,42;382.329,58;94,69;
"FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.";"FUNDO DE ASSISTENCIA A SAUDE CLDF";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FASCAL";"2009";;0,00;577.684,27;-577.684,27;0,00;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"INDENIZAÇÕES E RESTITUIÇÕES";"RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"OUTRAS RESTITUIÇÕES";"2009";;0,00;333.271,64;-333.271,64;0,00;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"OUTRAS RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"2009";;0,00;18.003,00;-18.003,00;0,00;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FAS/ FUNDO DE ASSIST. SOCIAL";"2009";;360.000,00;369.902,00;-9.902,00;102,75;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNAM";"2009";;0,00;36,32;-36,32;0,00;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - FUNDO NACIONAL DE ASSISTÊNCIA SOC";"2009";;0,00;596.040,34;-596.040,34;0,00;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS  DE CONVÊNIOS";"TRANSFERÊNCIAS  DE CONVÊNIOS DA UNIÃO E SUAS ENTIDADES";"TRANSFERÊNCIAS  DE CONVÊNIOS- PROGRAMA ASSISTÊNCIA SOCIAL";"TRANSFERÊNCIAS  DE CONVÊNIOS- PROGRAMA ASSISTÊNCIA SOCIAL";"2009";;2.431.409,00;900.000,00;1.531.409,00;37,02;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";"FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS DA UNIÃO";"TRANSFERÊNCIA DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS";"TRANSFERÊNCIA DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS";"2009";;8.294.200,00;6.033.666,03;2.260.533,97;72,75;
"FUNDO DE AVAL DO DISTRITO FEDERAL";"FUNDO DE AVAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS IMOBILIÁRIAS";"ARRENDAMENTOS";"ARRENDAMENTOS DO FUNDO DE AVAL DO DF";"ARRENDAMENTOS DO FUNDO DE AVAL DO DF";"2009";;66.948,00;125.532,73;-58.584,73;187,51;
"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDO DO DIREITO DO CONSUMIDOR";"2009";;0,00;31.283,83;-31.283,83;0,00;
"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"TRANSFERÊNCIA DE INSTITUIÇÕES PRIVADAS";"FUNDO DE DIREITO DO CONSUMIDOR";"FUNDO DE DIREITO DO CONSUMIDOR";"2009";;0,00;487.562,78;-487.562,78;0,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO URBANO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"OUTORGA ONEROSA DA ALTERAÇÃO DE USO";"OUTORGA ONEROSA DA ALTERAÇÃO DE USO";"2009";;10.547.612,00;402.362,81;10.145.249,19;3,81;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO URBANO DO DF";"RECEITAS CORRENTES";"OUTRAS RECEITAS CORRENTES";"RECEITAS DIVERSAS";"RECEITAS DIVERSAS";"REC.OUTORGA ONEROSA DO DIREITO DE CONSTRUIR";"REC.OUTORGA ONEROSA DO DIREITO DE CONSTRUIR";"2009";;2.196.388,00;0,00;2.196.388,00;0,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO URBANO DO DF";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITA DE CONCESSÕES E PERMISSÕES";"RECEITA DE CONTRATO DE PERMISSÃO DE USO";"PELA CONCESSÃO DE DIREITO REAL DE USO E CONCESSÃO DE USO";"PELA CONCESSÃO DE DIREITO REAL DE USO E CONCESSÃO DE USO";"2009";;5.150.000,00;0,00;5.150.000,00;0,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO URBANO DO DF";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDURB";"2009";;0,00;1.128,82;-1.128,82;0,00;
"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDO DESEN. RURAL";"2009";;122.773,00;280.773,58;-158.000,58;228,69;
"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS IMOBILIÁRIAS";"ARRENDAMENTOS";"ARRENDAMENTOS DO FUNDO DE DESENV.RURAL DO DF";"ARRENDAMENTOS DO FUNDO DE DESENV.RURAL DO DF";"2009";;1.272.006,00;1.234.069,10;37.936,90;97,02;
"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL";"RECEITAS DE CAPITAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTO - FDR";"2009";;190.000,00;400.906,31;-210.906,31;211,00;
"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS FINANCEIROS";"EMOLUMENTOS";"2009";;222.000,00;1.173.672,22;-951.672,22;528,68;
"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"RECEITA DE SERVIÇOS";"SERVIÇOS FINANCEIROS";"JUROS DE EMPRÉSTIMOS";"2009";;13.550.000,00;12.887.062,27;662.937,73;95,11;
"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDEFE";"2009";;0,00;1.269.094,54;-1.269.094,54;0,00;
"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"FUNDO DE DESENVOLVIMENTO DO DISTRITO FEDERAL";"RECEITAS DE CAPITAL";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÕES DE EMPRÉSTIMOS E FINANCIAMENTO";"AMORTIZAÇÃO DE FINANCIAMENTOS";"AMORTIZAÇÃO DE FINANCIAMENTO - FUNDEFE";"2009";;38.900.000,00;38.911.485,94;-11.485,94;100,03;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS";"REM.DEP.BANCÁRIOS-  C/MOV - GDF";"2009";;0,00;2.668,99;-2.668,99;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - FUNDEB";"2009";;2.279.800,00;2.466.917,54;-187.117,54;108,21;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA  PARA FORMAÇÃO DO FUNDEB- ICMS";"2009";;877.191.974,00;996.800.566,08;-119.608.592,08;113,64;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA P/FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DA DÍV. ATIVA ICMS";"2009";;368.111,00;0,00;368.111,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA P/FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DA DÍV. ATIVA IPVA";"2009";;1.401.655,00;0,00;1.401.655,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA P/FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DA DÍV. ATIVA ITCD";"2009";;40.489,00;0,00;40.489,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- DÍVIDA ATIVA ICMS";"2009";;4.261.321,00;0,00;4.261.321,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- DÍVIDA ATIVA IPVA";"2009";;4.178.881,00;0,00;4.178.881,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- DÍVIDA ATIVA ITCD";"2009";;129.096,00;0,00;129.096,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- IPVA";"2009";;115.081.294,00;79.474.357,41;35.606.936,59;69,06;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- ITCD";"2009";;5.396.474,00;3.631.207,90;1.765.266,10;67,29;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- ITR";"2009";;202.800,00;88.648,16;114.151,84;43,71;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DO ICMS";"2009";;1.290.523,00;0,00;1.290.523,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DO IPVA";"2009";;2.430.803,00;0,00;2.430.803,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB- MULTA E JUROS DE MORA DO ITCD";"2009";;234.352,00;0,00;234.352,00;0,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA A FORMAÇÃO DO FUNDEB-ICMS-DESONERAÇÃO LC 87/96";"2009";;3.900.495,00;3.158.025,00;742.470,00;80,96;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA FORMAÇÃO DO FUNDEB - FPE";"2009";;66.486.682,00;62.474.162,41;4.012.519,59;93,96;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA FORMAÇÃO DO FUNDEB - FPM";"2009";;18.205.637,00;15.474.001,34;2.731.635,66;85,00;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";"RECEITAS CORRENTES";"TRANSFERÊNCIAS CORRENTES";"TRANSFERÊNCIAS INTERGOVERNAMENTAIS";"TRANSFERÊNCIAS MULTIGOVERNAMENTAIS";"TRANSFERÊNCIA DE RECURSOS DO FUNDEB";"RECEITA PARA FORMAÇÃO DO FUNDEB - IPI EXPORTAÇÃO";"2009";;522.600,00;561.338,61;-38.738,61;107,41;
"FUNDO DE MELH. DA GESTÃO DOS PARQUES DO DF";"FUNDO DE MELH. DA GESTÃO DE PARQUES DO DF";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITA DE CONCESSÕES E PERMISSÕES";"RECEITA DE CONTRATO DE PERMISSÃO DE USO";"PELA CONCESSÃO DE USO DAS ÁREAS DOS PARQUES E UNIDADES DE CONSERV.PRÓ";"PELA CONCESSÃO DE USO DAS ÁREAS DOS PARQUES E UNIDADES DE CONSERV.PRÓ";"2009";;0,00;12.709,20;-12.709,20;0,00;
"FUNDO DE MELH. DA GESTÃO DOS PARQUES DO DF";"FUNDO DE MELH. DA GESTÃO DE PARQUES DO DF";"RECEITAS CORRENTES";"RECEITA PATRIMONIAL";"RECEITAS DE VALORES MOBILIÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS";"REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS";"REM.DEP.BANCÁRIOS - FUNDO PRÓ PARQUES";"2009";;0,00;25.298,68;-25.298,68;0,00;
